epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.0901639312505722,3.280440092086792,0.25806450843811035,2.9327285289764404,0.0010000000474974513
2,0.17213115096092224,2.750044107437134,0.22580644488334656,2.3644397258758545,0.0010000000474974513
3,0.33196720480918884,2.205521821975708,0.32258063554763794,1.9170217514038086,0.0010000000474974513
4,0.3852458894252777,1.88181471824646,0.6129032373428345,1.51179838180542,0.0010000000474974513
5,0.5491803288459778,1.527719259262085,0.6774193644523621,1.2310136556625366,0.0010000000474974513
6,0.6352459192276001,1.297133445739746,0.7419354915618896,1.0509123802185059,0.0010000000474974513
7,0.6393442749977112,1.100999355316162,0.7096773982048035,0.8535712957382202,0.0010000000474974513
8,0.6721311211585999,0.9192185997962952,0.774193525314331,0.7651612162590027,0.0010000000474974513
9,0.7581967115402222,0.7511589527130127,0.774193525314331,0.6222090125083923,0.0010000000474974513
10,0.7622950673103333,0.6738052368164062,0.7096773982048035,0.6713595986366272,0.0010000000474974513
11,0.7540983557701111,0.7273193597793579,0.8064516186714172,0.5448875427246094,0.0010000000474974513
12,0.811475396156311,0.620677649974823,0.774193525314331,0.5542641282081604,0.0010000000474974513
13,0.7704917788505554,0.6389403939247131,0.8064516186714172,0.5026808977127075,0.0010000000474974513
14,0.811475396156311,0.5669674873352051,0.8064516186714172,0.5430951118469238,0.0010000000474974513
15,0.8032786846160889,0.5442671775817871,0.8387096524238586,0.40880951285362244,0.0010000000474974513
16,0.8278688788414001,0.45249009132385254,0.8387096524238586,0.41774776577949524,0.0010000000474974513
17,0.8442623019218445,0.4506545066833496,0.8064516186714172,0.43945634365081787,0.0010000000474974513
18,0.8565573692321777,0.44372960925102234,0.8709677457809448,0.4240674376487732,0.0010000000474974513
19,0.9057376980781555,0.3957553803920746,0.8709677457809448,0.3909204602241516,0.0010000000474974513
20,0.8852459192276001,0.3924488127231598,0.8064516186714172,0.5057573318481445,0.0010000000474974513
21,0.881147563457489,0.353153795003891,0.9032257795333862,0.3692700266838074,0.0010000000474974513
22,0.8770492076873779,0.38520678877830505,0.8387096524238586,0.48698946833610535,0.0010000000474974513
23,0.7909836173057556,0.5373151302337646,0.8064516186714172,0.4610673487186432,0.0010000000474974513
24,0.8524590134620667,0.4507661461830139,0.8387096524238586,0.34945574402809143,0.0010000000474974513
25,0.8934426307678223,0.32094916701316833,0.8709677457809448,0.29028603434562683,0.0010000000474974513
26,0.9180327653884888,0.251594603061676,0.8709677457809448,0.3118678033351898,0.0010000000474974513
27,0.9549180269241333,0.22692984342575073,0.8387096524238586,0.2869030833244324,0.0010000000474974513
28,0.9139344096183777,0.2402111291885376,0.9032257795333862,0.2611469030380249,0.0010000000474974513
29,0.9549180269241333,0.19369608163833618,0.8387096524238586,0.2779616117477417,0.0010000000474974513
